Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/classify,1937,0,1500,1498.5958633572534,331.52270800019323,1772.9274590001296,139.9065565307176,32.75063860559238,0.0,1500,1600,1600,1600,1600,1700,1700,1700,1800,1800,1800
,Aggregated,1937,0,1500,1498.5958633572534,331.52270800019323,1772.9274590001296,139.9065565307176,32.75063860559238,0.0,1500,1600,1600,1600,1600,1700,1700,1700,1800,1800,1800
