Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781019699,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,7,0,3600,3648.341863427569,3588.1300830005785,3710.8281669970893,4635.857142857143
1781019700,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,7,0,3600,3648.341863427569,3588.1300830005785,3710.8281669970893,4635.857142857143
1781019701,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,7,0,3600,3648.341863427569,3588.1300830005785,3710.8281669970893,4635.857142857143
1781019702,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,8,0,3600,3642.7826878739324,3588.1300830005785,3710.8281669970893,4635.875
1781019703,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,8,0,3600,3642.7826878739324,3588.1300830005785,3710.8281669970893,4635.875
1781019704,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,8,0,3600,3642.7826878739324,3588.1300830005785,3710.8281669970893,4635.875
1781019705,1,,Aggregated,0.300000,0.000000,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,9,0,3600,3639.3384031103374,3588.1300830005785,3710.8281669970893,4632.333333333333
1781019706,1,,Aggregated,0.300000,0.000000,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,9,0,3600,3639.3384031103374,3588.1300830005785,3710.8281669970893,4632.333333333333
1781019707,1,,Aggregated,0.300000,0.000000,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,9,0,3600,3639.3384031103374,3588.1300830005785,3710.8281669970893,4632.333333333333
1781019708,1,,Aggregated,0.300000,0.000000,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,9,0,3600,3639.3384031103374,3588.1300830005785,3710.8281669970893,4632.333333333333
1781019709,1,,Aggregated,0.300000,0.000000,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,10,0,3600,3638.334204399507,3588.1300830005785,3710.8281669970893,4632.7
1781019710,1,,Aggregated,0.300000,0.000000,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,10,0,3600,3638.334204399507,3588.1300830005785,3710.8281669970893,4632.7
1781019711,1,,Aggregated,0.300000,0.000000,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,10,0,3600,3638.334204399507,3588.1300830005785,3710.8281669970893,4632.7
1781019712,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,11,0,3600,3644.6067957268415,3588.1300830005785,3710.8281669970893,4633.0
1781019713,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,11,0,3600,3644.6067957268415,3588.1300830005785,3710.8281669970893,4633.0
1781019714,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,11,0,3600,3644.6067957268415,3588.1300830005785,3710.8281669970893,4633.0
1781019715,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,11,0,3600,3644.6067957268415,3588.1300830005785,3710.8281669970893,4633.0
1781019716,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,12,0,3600,3650.63283358298,3588.1300830005785,3716.919250000501,4633.25
1781019717,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,12,0,3600,3650.63283358298,3588.1300830005785,3716.919250000501,4633.25
1781019718,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,12,0,3600,3650.63283358298,3588.1300830005785,3716.919250000501,4633.25
1781019719,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,12,0,3600,3650.63283358298,3588.1300830005785,3716.919250000501,4633.25
1781019720,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,13,0,3600,3650.2950835380875,3588.1300830005785,3716.919250000501,4633.461538461538
1781019721,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,13,0,3600,3650.2950835380875,3588.1300830005785,3716.919250000501,4633.461538461538
1781019722,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,13,0,3600,3650.2950835380875,3588.1300830005785,3716.919250000501,4633.461538461538
1781019723,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,14,0,3600,3647.2514406424516,3588.1300830005785,3716.919250000501,4633.571428571428
1781019724,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,14,0,3600,3647.2514406424516,3588.1300830005785,3716.919250000501,4633.571428571428
1781019725,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,14,0,3600,3647.2514406424516,3588.1300830005785,3716.919250000501,4633.571428571428
1781019726,1,,Aggregated,0.300000,0.000000,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,14,0,3600,3647.2514406424516,3588.1300830005785,3716.919250000501,4633.571428571428
1781019727,1,,Aggregated,0.300000,0.000000,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700,15,0,3600,3644.8678918663063,3588.1300830005785,3716.919250000501,4631.6
