Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/classify,60,0,85,84.13380631679199,70.9428329992079,119.06462499973713,140.95,1.0153439941405777,0.0,85,86,86,87,88,90,91,120,120,120,120
,Aggregated,60,0,85,84.13380631679199,70.9428329992079,119.06462499973713,140.95,1.0153439941405777,0.0,85,86,86,87,88,90,91,120,120,120,120
