Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/classify-batch,16,0,3600,3642.4884298746747,3588.1300830005785,3716.919250000501,4631.875,0.27453157905816555,0.0,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700
,Aggregated,16,0,3600,3642.4884298746747,3588.1300830005785,3716.919250000501,4631.875,0.27453157905816555,0.0,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3700
